name,nomination_no,congress_no,circuit,confirmation_date,yea_votes,nay_votes,record_vote_number
Steven J. Menashi,PN1054,116,Second,11/14/2019,51,41,356
Peter Joseph Phipps,PN725,116,Third,07/16/2019,56,40,205
Kenneth Kiyul Lee,PN373,116,Ninth,05/15/2019,52,45,110
Daniel P. Collins,PN372,116,Ninth,05/21/2019,53,46,118
Daniel Aaron Bress,PN370,116,Ninth,07/09/2019,53,45,191
Allison Jones Rushing,PN251,116,Fourth,03/05/2019,53,44,35
Chad A. Readler,PN248,116,Sixth,03/06/2019,52,47,37
Neomi J. Rao,PN247,116,District of Columbia,03/13/2019,53,46,44
Michael H. Park,PN245,116,Second,05/09/2019,52,41,106
Eric E. Murphy,PN242,116,Sixth,03/07/2019,52,46,39
Eric D. Miller,PN239,116,Ninth,02/26/2019,53,46,29
Paul B. Matey,PN236,116,Third,03/12/2019,54,45,42
Joseph F. Bianco,PN220,116,Second,05/08/2019,54,42,99
Bridget S. Bade,PN213,116,Ninth,03/26/2019,78,21,51
Jonathan A. Kobes,PN2117,115,Eighth,12/11/2018,50,50,258
Ryan Douglas Nelson,PN1964,115,Ninth,10/11/2018,51,44,232
Richard J. Sullivan,PN1900,115,Second,10/11/2018,79,16,233
Julius Ness Richardson,PN1897,115,Fourth,08/16/2018,81,8,185
A. Marvin Quattlebaum Jr.,PN1895,115,Fourth,08/16/2018,62,28,183
David James Porter,PN1843,115,Third,10/11/2018,50,45,231
Britt Cagle Grant,PN1808,115,Eleventh,07/31/2018,52,46,174
Amy J. St. Eve,PN1648,115,Seventh,05/14/2018,91,0,93
Michael Y. Scudder,PN1647,115,Seventh,05/14/2018,90,0,92
Andrew S. Oldham,PN1645,115,Fifth,07/18/2018,50,49,160
Mark Jeremy Bennett,PN1642,115,Ninth,07/10/2018,72,27,145
John B. Nalbandian,PN1526,115,Sixth,05/15/2018,53,45,95
David Ryan Stras,PN1423,115,Eighth,01/30/2018,56,42,27
Kurt D. Engelhardt,PN1411,115,Fifth,05/09/2018,62,34,87
