name,nomination_no,congress_no,circuit,confirmation_date,yea_votes,nay_votes,record_vote_number,confirmation_year,session,vote_id
Kevin Christopher Newsom,PN372,115,Eleventh,2017-08-01,66,31,182,2017,1,1151182
Joan Louise Larsen,PN371,115,Sixth,2017-11-01,60,38,257,2017,1,1151257
John Kenneth Bush,PN370,115,Sixth,2017-07-20,51,47,164,2017,1,1151164
Amy Coney Barrett,PN369,115,Seventh,2017-10-31,55,43,255,2017,1,1151255
Amul R. Thapar,PN105,115,Sixth,2017-05-25,52,44,137,2017,1,1151137
Kara Farnandez Stoll,PN12,114,Federal,2015-07-07,95,0,221,2015,1,1141221
Luis Felipe Restrepo,PN11,114,Third,2016-01-11,82,6,001,2016,2,1142001
Pamela Harris,PN1696,113,Fourth,2014-07-28,50,43,242,2014,2,1132242
Cheryl Ann Krause,PN1397,113,Third,2014-07-07,93,0,217,2014,2,1132217
Gregg Jeffrey Costa,PN1188,113,Fifth,2014-05-20,97,0,158,2014,2,1132158
Julie E. Carnes,PN1187,113,Eleventh,2014-07-21,94,0,233,2014,2,1132233
Robin S. Rosenbaum,PN1186,113,Eleventh,2014-05-12,91,0,141,2014,2,1132141
David Jeremiah Barron,PN1185,113,First,2014-05-22,53,45,162,2014,2,1132162
John B. Owens,PN1184,113,Ninth,2014-03-31,56,43,091,2014,2,1132091
Nancy L. Moritz,PN1183,113,Tenth,2014-05-05,90,3,130,2014,2,1132130
Michelle T. Friedland,PN1182,113,Ninth,2014-04-28,51,40,108,2014,2,1132108
Carolyn B. McHugh,PN1181,113,Tenth,2014-03-12,98,0,067,2014,2,1132067
Jill A. Pryor,PN1180,113,Eleventh,2014-09-08,97,0,257,2014,2,1132257
Robert Leon Wilkins,PN529,113,District of Columbia,2014-01-13,55,43,007,2014,2,1132007
Cornelia T. L. Pillard,PN528,113,District of Columbia,2013-12-12,51,44,256,2013,1,1131256
Patricia Ann Millett,PN527,113,District of Columbia,2013-12-10,56,38,247,2013,1,1131247
Todd M. Hughes,PN134,113,Federal,2013-09-24,98,0,204,2013,1,1131204
Raymond T. Chen,PN133,113,Federal,2013-08-01,97,0,198,2013,1,1131198
Gregory Alan Phillips,PN128,113,Tenth,2013-07-08,88,0,169,2013,1,1131169
Jane Kelly,PN127,113,Eighth,2013-04-24,96,0,108,2013,1,1131108
Richard Gary Taranto,PN7,113,Federal,2013-03-11,91,0,033,2013,1,1131033
Srikanth Srinivasan,PN6,113,District of Columbia,2013-05-23,97,0,136,2013,1,1131136
Patty Shwartz,PN5,113,Third,2013-04-09,64,34,093,2013,1,1131093
William J. Kayatta Jr.,PN3,113,First,2013-02-13,88,12,020,2013,1,1131020
Robert E. Bacharach,PN1,113,Tenth,2013-02-25,93,0,022,2013,1,1131022
Andrew David Hurwitz,PN1104,112,Ninth,2012-06-12,,,<NA>,2012,2,1122<NA>
Paul J. Watford,PN1049,112,Ninth,2012-05-21,61,34,104,2012,2,1122104
Jacqueline H. Nguyen,PN985,112,Ninth,2012-05-07,91,3,088,2012,2,1122088
Stephanie Dawn Thacker,PN919,112,Fourth,2012-04-16,91,3,064,2012,2,1122064
Adalberto Jose Jordan,PN864,112,Eleventh,2012-02-15,94,5,019,2012,2,1122019
Evan Jonathan Wallach,PN856,112,Federal,2011-11-08,99,0,199,2011,1,1121199
Morgan Christen,PN555,112,Ninth,2011-12-15,95,3,231,2011,1,1121231
Stephen A. Higginson,PN511,112,Fifth,2011-10-31,88,0,188,2011,1,1121188
Christopher Droney,PN465,112,Second,2011-11-28,88,0,209,2011,1,1121209
Henry F. Floyd,PN90,112,Fourth,2011-10-03,96,0,154,2011,1,1121154
Susan L. Carney,PN8,112,Second,2011-05-17,71,28,071,2011,1,1121071
Bernice Bouie Donald,PN7,112,Sixth,2011-09-06,96,2,124,2011,1,1121124
James E. Graves Jr.,PN4,112,Fifth,2011-02-14,,,<NA>,2011,1,1121<NA>
Jimmie V. Reyna,PN1,112,Federal,2011-04-04,86,0,047,2011,1,1121047
Mary Helen Murguia,PN1576,111,Ninth,2010-12-22,89,0,299,2010,2,1112299
Kathleen M. O'Malley,PN1549,111,Federal,2010-12-22,,,<NA>,2010,2,1112<NA>
Raymond Joseph Lohier Jr.,PN1548,111,Second,2010-12-19,92,0,284,2010,2,1112284
Scott M. Matheson Jr.,PN1497,111,Tenth,2010-12-22,,,<NA>,2010,2,1112<NA>
James A. Wynn Jr.,PN1139,111,Fourth,2010-08-05,,,<NA>,2010,2,1112<NA>
Albert Diaz,PN1138,111,Fourth,2010-12-18,,,<NA>,2010,2,1112<NA>
O. Rogeriee Thompson,PN1061,111,First,2010-03-17,98,0,056,2010,2,1112056
Denny Chin,PN1060,111,Second,2010-04-22,98,0,123,2010,2,1112123
Barbara Milano Keenan,PN937,111,Fourth,2010-03-02,99,0,030,2010,2,1112030
Thomas I. Vanaskie,PN909,111,Third,2010-04-21,77,20,122,2010,2,1112122
Jane Branstetter Stranch,PN885,111,Sixth,2010-09-13,71,21,230,2010,2,1112230
Beverly Baldwin Martin,PN635,111,Eleventh,2010-01-20,97,0,001,2010,2,1112001
Joseph A. Greenaway Jr.,PN634,111,Third,2010-02-09,84,0,021,2010,2,1112021
Gerard E. Lynch,PN263,111,Second,2009-09-17,94,3,288,2009,1,1111288
Andre M. Davis,PN262,111,Fourth,2009-11-09,72,16,342,2009,1,1111342
David F. Hamilton,PN187,111,Seventh,2009-11-19,59,39,350,2009,1,1111350
Helene N. White,PN1560,110,Sixth,2008-06-24,63,32,156,2008,2,1102156
G. Steven Agee,PN1484,110,Fourth,2008-05-20,96,0,136,2008,2,1102136
