name,confirmation_date,congress_no,variable,value,party
Cory T. Wilson,2020-06-24,116,republicans,53,Rep
Justin Reed Walker,2020-06-18,116,republicans,53,Rep
Andrew Lynn Brasher,2020-02-11,116,republicans,53,Rep
Lawrence VanDyke,2019-12-11,116,republicans,53,Rep
Robert J. Luck,2019-11-19,116,republicans,53,Rep
Barbara Lagoa,2019-11-20,116,republicans,53,Rep
Patrick J. Bumatay,2019-12-10,116,republicans,53,Rep
William Joseph Nardini,2019-11-07,116,republicans,53,Rep
Danielle J. Hunsaker,2019-11-06,116,republicans,53,Rep
Steven J. Menashi,2019-11-14,116,republicans,53,Rep
Peter Joseph Phipps,2019-07-16,116,republicans,53,Rep
Kenneth Kiyul Lee,2019-05-15,116,republicans,53,Rep
Daniel P. Collins,2019-05-21,116,republicans,53,Rep
Daniel Aaron Bress,2019-07-09,116,republicans,53,Rep
Allison Jones Rushing,2019-03-05,116,republicans,53,Rep
Chad A. Readler,2019-03-06,116,republicans,53,Rep
Neomi J. Rao,2019-03-13,116,republicans,53,Rep
Michael H. Park,2019-05-09,116,republicans,53,Rep
Eric E. Murphy,2019-03-07,116,republicans,53,Rep
Eric D. Miller,2019-02-26,116,republicans,53,Rep
Paul B. Matey,2019-03-12,116,republicans,53,Rep
Joseph F. Bianco,2019-05-08,116,republicans,53,Rep
Bridget S. Bade,2019-03-26,116,republicans,53,Rep
Jonathan A. Kobes,2018-12-11,115,republicans,51,Rep
Ryan Douglas Nelson,2018-10-11,115,republicans,51,Rep
Richard J. Sullivan,2018-10-11,115,republicans,51,Rep
Julius Ness Richardson,2018-08-16,115,republicans,51,Rep
A. Marvin Quattlebaum Jr.,2018-08-16,115,republicans,51,Rep
David James Porter,2018-10-11,115,republicans,51,Rep
Britt Cagle Grant,2018-07-31,115,republicans,51,Rep
Amy J. St. Eve,2018-05-14,115,republicans,51,Rep
Michael Y. Scudder,2018-05-14,115,republicans,51,Rep
Andrew S. Oldham,2018-07-18,115,republicans,51,Rep
Mark Jeremy Bennett,2018-07-10,115,republicans,51,Rep
John B. Nalbandian,2018-05-15,115,republicans,51,Rep
David Ryan Stras,2018-01-30,115,republicans,51,Rep
Kurt D. Engelhardt,2018-05-09,115,republicans,51,Rep
Stuart Kyle Duncan,2018-04-24,115,republicans,51,Rep
Michael B. Brennan,2018-05-10,115,republicans,51,Rep
Elizabeth L. Branch,2018-02-27,115,republicans,51,Rep
Joel M. Carson III,2018-05-15,115,republicans,51,Rep
James C. Ho,2017-12-14,115,republicans,52,Rep
Don R. Willett,2017-12-13,115,republicans,52,Rep
Gregory G. Katsas,2017-11-28,115,republicans,52,Rep
Leonard Steven Grasz,2017-12-12,115,republicans,52,Rep
Stephanos Bibas,2017-11-02,115,republicans,52,Rep
