name,nomination_no,congress_no,post,vote
Candace Jackson-Akiwumi,PN392,117th Congress (2021-2022),"Candace Jackson-Akiwumi, of Illinois, to be United States Circuit Judge for the Seventh Circuit, vice Joel M. Flaum, retired.",Latest Action: 06/24/2021 - Confirmed by the Senate by Yea-Nay Vote. 53 - 40. Record Vote Number: 252. (All Actions)
Ketanji Brown Jackson,PN391,117th Congress (2021-2022),"Ketanji Brown Jackson, of the District of Columbia, to be United States Circuit Judge for the District of Columbia Circuit, vice Merrick B. Garland, retired.",Latest Action: 06/14/2021 - Confirmed by the Senate by Yea-Nay Vote. 53 - 44. Record Vote Number: 231. (All Actions)
Tiffany P. Cunningham,PN389,117th Congress (2021-2022),"Tiffany P. Cunningham, of Illinois, to be United States Circuit Judge for the Federal Circuit, vice Evan Jonathan Wallach, retiring.",Latest Action: 07/19/2021 - Confirmed by the Senate by Yea-Nay Vote. 63 - 33. Record Vote Number: 267. (All Actions)
Thomas L. Kirsch II,PN2333,116th Congress (2019-2020),"Thomas L. Kirsch II, of Indiana, to be United States Circuit Judge for the Seventh Circuit, vice Amy Coney Barrett, elevated.",Latest Action: 12/15/2020 - Confirmed by the Senate by Yea-Nay Vote. 51 - 44. Record Vote Number: 266. (All Actions)
Cory T. Wilson,PN1749,116th Congress (2019-2020),"Cory T. Wilson, of Mississippi, to be United States Circuit Judge for the Fifth Circuit, vice E. Grady Jolly, retired.",Latest Action: 06/24/2020 - Confirmed by the Senate by Yea-Nay Vote. 52 - 48. Record Vote Number: 125. (All Actions)
Justin Reed Walker,PN1748,116th Congress (2019-2020),"Justin Reed Walker, of Kentucky, to be United States Circuit Judge for the District of Columbia Circuit, vice Thomas G. Griffith, retiring.",Latest Action: 06/18/2020 - Confirmed by the Senate by Yea-Nay Vote. 51 - 42. Record Vote Number: 123. (All Actions)
Andrew Lynn Brasher,PN1325,116th Congress (2019-2020),"Andrew Lynn Brasher, of Alabama, to be United States Circuit Judge for the Eleventh Circuit, vice Edward E. Carnes, retiring.",Latest Action: 02/11/2020 - Confirmed by the Senate by Yea-Nay Vote. 52 - 43. Record Vote Number: 36. (All Actions)
Lawrence VanDyke,PN1175,116th Congress (2019-2020),"Lawrence VanDyke, of Nevada, to be United States Circuit Judge for the Ninth Circuit, vice Jay S. Bybee, retiring.",Latest Action: 12/11/2019 - Confirmed by the Senate by Yea-Nay Vote. 51 - 44. Record Vote Number: 391. (All Actions)
Robert J. Luck,PN1172,116th Congress (2019-2020),"Robert J. Luck, of Florida, to be United States Circuit Judge for the Eleventh Circuit, vice Gerald B. Tjoflat, retiring.",Latest Action: 11/19/2019 - Confirmed by the Senate by Yea-Nay Vote. 64 - 31. Record Vote Number: 358. (All Actions)
Barbara Lagoa,PN1171,116th Congress (2019-2020),"Barbara Lagoa, of Florida, to be United States Circuit Judge for the Eleventh Circuit, vice Stanley Marcus, retiring.",Latest Action: 11/20/2019 - Confirmed by the Senate by Yea-Nay Vote. 80 - 15. Record Vote Number: 360. (All Actions)
Patrick J. Bumatay,PN1167,116th Congress (2019-2020),"Patrick J. Bumatay, of California, to be United States Circuit Judge for the Ninth Circuit, vice Carlos T. Bea, retiring.",Latest Action: 12/10/2019 - Confirmed by the Senate by Yea-Nay Vote. 53 - 40. Record Vote Number: 387. (All Actions)
William Joseph Nardini,PN1107,116th Congress (2019-2020),"William Joseph Nardini, of Connecticut, to be United States Circuit Judge for the Second Circuit, vice Christopher Droney, retired.",Latest Action: 11/07/2019 - Confirmed by the Senate by Yea-Nay Vote. 86 - 2. Record Vote Number: 352. (All Actions)
Danielle J. Hunsaker,PN1106,116th Congress (2019-2020),"Danielle J. Hunsaker, of Oregon, to be United States Circuit Judge for the Ninth Circuit, vice Diarmuid F. O'Scannlain, retired.",Latest Action: 11/06/2019 - Confirmed by the Senate by Yea-Nay Vote. 73 - 17. Record Vote Number: 348. (All Actions)
Steven J. Menashi,PN1054,116th Congress (2019-2020),"Steven J. Menashi, of New York, to be United States Circuit Judge for the Second Circuit, vice Dennis G. Jacobs, retired.",Latest Action: 11/14/2019 - Confirmed by the Senate by Yea-Nay Vote. 51 - 41. Record Vote Number: 356. (All Actions)
Peter Joseph Phipps,PN725,116th Congress (2019-2020),"Peter Joseph Phipps, of Pennsylvania, to be United States Circuit Judge for the Third Circuit, vice Thomas I. Vanaskie, retired.",Latest Action: 07/16/2019 - Confirmed by the Senate by Yea-Nay Vote. 56 - 40. Record Vote Number: 205. (All Actions)
Kenneth Kiyul Lee,PN373,116th Congress (2019-2020),"Kenneth Kiyul Lee, of California, to be United States Circuit Judge for the Ninth Circuit, vice Stephen R. Reinhardt, deceased.",Latest Action: 05/15/2019 - Confirmed by the Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 110. (All Actions)
Daniel P. Collins,PN372,116th Congress (2019-2020),"Daniel P. Collins, of California, to be United States Circuit Judge for the Ninth Circuit, vice Harry Pregerson, retired.",Latest Action: 05/21/2019 - Confirmed by the Senate by Yea-Nay Vote. 53 - 46. Record Vote Number: 118. (All Actions)
Daniel Aaron Bress,PN370,116th Congress (2019-2020),"Daniel Aaron Bress, of California, to be United States Circuit Judge for the Ninth Circuit, vice Alex Kozinski, retired.",Latest Action: 07/09/2019 - Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 191. (All Actions)
Allison Jones Rushing,PN251,116th Congress (2019-2020),"Allison Jones Rushing, of North Carolina, to be United States Circuit Judge for the Fourth Circuit, vice Allyson K. Duncan, retiring.",Latest Action: 03/05/2019 - Confirmed by the Senate by Yea-Nay Vote. 53 - 44. Record Vote Number: 35. (All Actions)
Chad A. Readler,PN248,116th Congress (2019-2020),"Chad A. Readler, of Ohio, to be United States Circuit Judge for the Sixth Circuit, vice Deborah L. Cook, retiring.",Latest Action: 03/06/2019 - Confirmed by the Senate by Yea-Nay Vote. 52 - 47. Record Vote Number: 37. (All Actions)
Neomi J. Rao,PN247,116th Congress (2019-2020),"Neomi J. Rao, of the District of Columbia, to be United States Circuit Judge for the District of Columbia Circuit, vice Brett M. Kavanaugh, elevated.",Latest Action: 03/13/2019 - Confirmed by the Senate by Yea-Nay Vote. 53 - 46. Record Vote Number: 44. (All Actions)
