name,nomination_no,congress_no,post,vote
Raymond T. Chen,PN133,113th Congress (2013-2014),"Raymond T. Chen, of Maryland, to be United States Circuit Judge for the Federal Circuit, vice Richard Linn, retired.",Latest Action: 08/01/2013 - Confirmed by the Senate by Yea-Nay Vote. 97 - 0. Record Vote Number: 198. (All Actions)
Gregory Alan Phillips,PN128,113th Congress (2013-2014),"Gregory Alan Phillips, of Wyoming, to be United States Circuit Judge for the Tenth Circuit, vice Terrence L. O'Brien, retiring.",Latest Action: 07/08/2013 - Confirmed by the Senate by Yea-Nay Vote. 88 - 0. Record Vote Number: 169. (All Actions)
Jane Kelly,PN127,113th Congress (2013-2014),"Jane Kelly, of Iowa, to be United States Circuit Judge for the Eighth Circuit, vice Michael J. Melloy, retiring.",Latest Action: 04/24/2013 - Confirmed by the Senate by Yea-Nay Vote. 96 - 0. Record Vote Number: 108. (All Actions)
Richard Gary Taranto,PN7,113th Congress (2013-2014),"Richard Gary Taranto, of Maryland, to be United States Circuit Judge for the Federal Circuit, vice Paul R. Michel, retired.",Latest Action: 03/11/2013 - Confirmed by the Senate by Yea-Nay Vote. 91 - 0. Record Vote Number: 33. (All Actions)
Srikanth Srinivasan,PN6,113th Congress (2013-2014),"Srikanth Srinivasan, of Virginia, to be United States Circuit Judge for the District of Columbia Circuit, vice A. Raymond Randolph, retired.",Latest Action: 05/23/2013 - Confirmed by the Senate by Yea-Nay Vote. 97 - 0. Record Vote Number: 136. (All Actions)
Patty Shwartz,PN5,113th Congress (2013-2014),"Patty Shwartz, of New Jersey, to be United States Circuit Judge for the Third Circuit, vice Maryanne Trump Barry, retired.",Latest Action: 04/09/2013 - Confirmed by the Senate by Yea-Nay Vote. 64 - 34. Record Vote Number: 93. (All Actions)
William J. Kayatta Jr.,PN3,113th Congress (2013-2014),"William J. Kayatta, Jr., of Maine, to be United States Circuit Judge for the First Circuit, vice Kermit Lipez, retired.",Latest Action: 02/13/2013 - Confirmed by the Senate by Yea-Nay Vote. 88 - 12. Record Vote Number: 20. (All Actions)
Robert E. Bacharach,PN1,113th Congress (2013-2014),"Robert E. Bacharach, of Oklahoma, to be United States Circuit Judge for the Tenth Circuit, vice Robert Harlan Henry, resigned.",Latest Action: 02/25/2013 - Confirmed by the Senate by Yea-Nay Vote. 93 - 0. Record Vote Number: 22. (All Actions)
Andrew David Hurwitz,PN1104,112th Congress (2011-2012),"Andrew David Hurwitz, of Arizona, to be United States Circuit Judge for the Ninth Circuit, vice Mary M. Schroeder, retiring.",Latest Action: 06/12/2012 - Confirmed by the Senate by Voice Vote. (All Actions)
Paul J. Watford,PN1049,112th Congress (2011-2012),"Paul J. Watford, of California, to be United States Circuit Judge for the Ninth Circuit, vice Pamela Ann Rymer, deceased.",Latest Action: 05/21/2012 - Confirmed by the Senate by Yea-Nay Vote. 61 - 34. Record Vote Number: 104. (All Actions)
Jacqueline H. Nguyen,PN985,112th Congress (2011-2012),"Jacqueline H. Nguyen, of California, to be United States Circuit Judge for the Ninth Circuit, vice a new position created by Public Law 110-177, approved January 7, 2008.",Latest Action: 05/07/2012 - Confirmed by the Senate by Yea-Nay Vote. 91 - 3. Record Vote Number: 88. (All Actions)
Stephanie Dawn Thacker,PN919,112th Congress (2011-2012),"Stephanie Dawn Thacker, of West Virginia, to be United States Circuit Judge for the Fourth Circuit, vice M. Blane Michael, deceased.",Latest Action: 04/16/2012 - Confirmed by the Senate by Yea-Nay Vote. 91 - 3. Record Vote Number: 64. (All Actions)
Adalberto Jose Jordan,PN864,112th Congress (2011-2012),"Adalberto Jose Jordan, of Florida, to be United States Circuit Judge for the Eleventh Circuit, vice Susan H. Black, retired.",Latest Action: 02/15/2012 - Confirmed by the Senate by Yea-Nay Vote. 94 - 5. Record Vote Number: 19. (All Actions)
Evan Jonathan Wallach,PN856,112th Congress (2011-2012),"Evan Jonathan Wallach, of New York, to be United States Circuit Judge for the Federal Circuit, vice Arthur Gajarsa, retiring.",Latest Action: 11/08/2011 - Confirmed by the Senate by Yea-Nay Vote. 99 - 0. Record Vote Number: 199. (All Actions)
Morgan Christen,PN555,112th Congress (2011-2012),"Morgan Christen, of Alaska, to be United States Circuit Judge for the Ninth Circuit, vice Andrew J. Kleinfeld, retired.",Latest Action: 12/15/2011 - Confirmed by the Senate by Yea-Nay Vote. 95 - 3. Record Vote Number: 231. (All Actions)
Stephen A. Higginson,PN511,112th Congress (2011-2012),"Stephen A. Higginson, of Louisiana, to be United States Circuit Judge for the Fifth Circuit, vice Jacques L. Wiener, Jr., retired.",Latest Action: 10/31/2011 - Confirmed by the Senate by Yea-Nay Vote. 88 - 0. Record Vote Number: 188. (All Actions)
Christopher Droney,PN465,112th Congress (2011-2012),"Christopher Droney, of Connecticut, to be United States Circuit Judge for the Second Circuit, vice Guido Calabresi, retired.",Latest Action: 11/28/2011 - Confirmed by the Senate by Yea-Nay Vote. 88 - 0. Record Vote Number: 209. (All Actions)
Henry F. Floyd,PN90,112th Congress (2011-2012),"Henry F. Floyd, of South Carolina, to be United States Circuit Judge for the Fourth Circuit, vice Karen J. Williams, retired.",Latest Action: 10/03/2011 - Confirmed by the Senate by Yea-Nay Vote. 96 - 0. Record Vote Number: 154. (All Actions)
Susan L. Carney,PN8,112th Congress (2011-2012),"Susan L. Carney, of Connecticut, to be United States Circuit Judge for the Second Circuit, vice Barrington D. Parker, retired.",Latest Action: 05/17/2011 - Confirmed by the Senate by Yea-Nay Vote. 71 - 28. Record Vote Number: 71. (All Actions)
Bernice Bouie Donald,PN7,112th Congress (2011-2012),"Bernice Bouie Donald, of Tennessee, to be United States Circuit Judge for the Sixth Circuit, vice Ronald Lee Gilman, retired.",Latest Action: 09/06/2011 - Confirmed by the Senate by Yea-Nay Vote. 96 - 2. Record Vote Number: 124. (All Actions)
James E. Graves Jr.,PN4,112th Congress (2011-2012),"James E. Graves, Jr., of Mississippi, to be United States Circuit Judge for the Fifth Circuit, vice Rhesa H. Barksdale, retired.",Latest Action: 02/14/2011 - Confirmed by the Senate by Voice Vote. (All Actions)
Jimmie V. Reyna,PN1,112th Congress (2011-2012),"Jimmie V. Reyna, of Maryland, to be United States Circuit Judge for the Federal Circuit, vice Haldane Robert Mayer, retired.",Latest Action: 04/04/2011 - Confirmed by the Senate by Yea-Nay Vote. 86 - 0. Record Vote Number: 47. (All Actions)
Mary Helen Murguia,PN1576,111th Congress (2009-2010),"Mary Helen Murguia, of Arizona, to be United States Circuit Judge for the Ninth Circuit, vice Michael D. Hawkins, retired.",Latest Action: 12/22/2010 - Confirmed by the Senate by Yea-Nay Vote. 89 - 0. Record Vote Number: 299. (All Actions)
Kathleen M. O'Malley,PN1549,111th Congress (2009-2010),"Kathleen M. O'Malley, of Ohio, to be United States Circuit Judge for the Federal Circuit, vice Alvin A. Schall, retired.",Latest Action: 12/22/2010 - Confirmed by the Senate by Voice Vote. (All Actions)
Raymond Joseph Lohier Jr.,PN1548,111th Congress (2009-2010),"Raymond Joseph Lohier, Jr., of New York, to be United States Circuit Judge for the Second Circuit, vice Sonia Sotomayor, elevated.",Latest Action: 12/19/2010 - Confirmed by the Senate by Yea-Nay Vote. 92 - 0. Record Vote Number: 284. (All Actions)
Scott M. Matheson Jr.,PN1497,111th Congress (2009-2010),"Scott M. Matheson, Jr., of Utah, to be United States Circuit Judge for the Tenth Circuit, vice Michael W. McConnell, resigned.",Latest Action: 12/22/2010 - Confirmed by the Senate by Voice Vote. (All Actions)
James A. Wynn Jr.,PN1139,111th Congress (2009-2010),"James A. Wynn, Jr., of North Carolina, to be United States Circuit Judge for the Fourth Circuit, vice James Dickson Phillips, Jr., retired.",Latest Action: 08/05/2010 - Confirmed by the Senate by Voice Vote. (All Actions)
Albert Diaz,PN1138,111th Congress (2009-2010),"Albert Diaz, of North Carolina, to be United States Circuit Judge for the Fourth Circuit, vice William W. Wilkins, Jr., retired.",Latest Action: 12/18/2010 - Confirmed by the Senate by Voice Vote. (All Actions)
O. Rogeriee Thompson,PN1061,111th Congress (2009-2010),"O. Rogeriee Thompson, of Rhode Island, to be United States Circuit Judge for the First Circuit, vice Bruce M. Selya, retired.",Latest Action: 03/17/2010 - Confirmed by the Senate by Yea-Nay Vote. 98 - 0. Record Vote Number: 56. (All Actions)
Denny Chin,PN1060,111th Congress (2009-2010),"Denny Chin, of New York, to be United States Circuit Judge for the Second Circuit, vice Robert D. Sack, retired.",Latest Action: 04/22/2010 - Confirmed by the Senate by Yea-Nay Vote. 98 - 0. Record Vote Number: 123. (All Actions)
Barbara Milano Keenan,PN937,111th Congress (2009-2010),"Barbara Milano Keenan, of Virginia, to be United States Circuit Judge for the Fourth Circuit, vice H. Emory Widener, Jr., retired.",Latest Action: 03/02/2010 - Confirmed by the Senate by Yea-Nay Vote. 99 - 0. Record Vote Number: 30. (All Actions)
Thomas I. Vanaskie,PN909,111th Congress (2009-2010),"Thomas I. Vanaskie, of Pennsylvania, to be United States Circuit Judge for the Third Circuit, vice Franklin S. Van Antwerpen, retired.",Latest Action: 04/21/2010 - Confirmed by the Senate by Yea-Nay Vote. 77 - 20. Record Vote Number: 122. (All Actions)
Jane Branstetter Stranch,PN885,111th Congress (2009-2010),"Jane Branstetter Stranch, of Tennessee, to be United States Circuit Judge for the Sixth Circuit, vice Martha Craig Daughtrey, retired.",Latest Action: 09/13/2010 - Confirmed by the Senate by Yea-Nay Vote. 71 - 21. Record Vote Number: 230. (All Actions)
Beverly Baldwin Martin,PN635,111th Congress (2009-2010),"Beverly Baldwin Martin, of Georgia, to be United States Circuit Judge for the Eleventh Circuit, vice R. Lanier Anderson, III, retired.",Latest Action: 01/20/2010 - Confirmed by the Senate by Yea-Nay Vote. 97 - 0. Record Vote Number: 1. (All Actions)
Joseph A. Greenaway Jr.,PN634,111th Congress (2009-2010),"Joseph A. Greenaway, Jr., of New Jersey, to be United States Circuit Judge for the Third Circuit, vice Samuel A. Alito, Jr., elevated.",Latest Action: 02/09/2010 - Confirmed by the Senate by Yea-Nay Vote. 84 - 0. Record Vote Number: 21. (All Actions)
Gerard E. Lynch,PN263,111th Congress (2009-2010),"Gerard E. Lynch, of New York, to be United States Circuit Judge for the Second Circuit, vice Chester J. Straub, retired.",Latest Action: 09/17/2009 - Confirmed by the Senate by Yea-Nay Vote. 94 - 3. Record Vote Number: 288. (All Actions)
Andre M. Davis,PN262,111th Congress (2009-2010),"Andre M. Davis, of Maryland, to be United States Circuit Judge for the Fourth Circuit, vice Francis D. Murnaghan, Jr., deceased.",Latest Action: 11/09/2009 - Confirmed by the Senate by Yea-Nay Vote. 72 - 16. Record Vote Number: 342. (All Actions)
David F. Hamilton,PN187,111th Congress (2009-2010),"David F. Hamilton, of Indiana, to be United States Circuit Judge for the Seventh Circuit, vice Kenneth F. Ripple, retired.",Latest Action: 11/19/2009 - Confirmed by the Senate by Yea-Nay Vote. 59 - 39. Record Vote Number: 350. (All Actions)
Helene N. White,PN1560,110th Congress (2007-2008),"Helene N. White, of Michigan, to be United States Circuit Judge for the Sixth Circuit, vice Susan Bieke Neilson, deceased.",Latest Action: 06/24/2008 - Confirmed by the Senate by Yea-Nay Vote. 63 - 32. Record Vote Number: 156. (All Actions)
G. Steven Agee,PN1484,110th Congress (2007-2008),"G. Steven Agee, of Virginia, to be United States Circuit Judge for the Fourth Circuit, vice J. Michael Luttig, resigned.",Latest Action: 05/20/2008 - Confirmed by the Senate by Yea-Nay Vote. 96 - 0. Record Vote Number: 136. (All Actions)
John Daniel Tinder,PN768,110th Congress (2007-2008),"John Daniel Tinder, of Indiana, to be United States Circuit Judge for the Seventh Circuit, vice Daniel A. Manion, retiring.",Latest Action: 12/18/2007 - Confirmed by the Senate by Yea-Nay Vote. 93 - 0. Record Vote Number: 442. (All Actions)
Catharina Haynes,PN766,110th Congress (2007-2008),"Catharina Haynes, of Texas, to be United States Circuit Judge for the Fifth Circuit, vice Harold R. DeMoss, Jr., retired.",Latest Action: 04/10/2008 - Confirmed by the Senate by Voice Vote. (All Actions)
Jennifer Walker Elrod,PN402,110th Congress (2007-2008),"Jennifer Walker Elrod, of Texas, to be United States Circuit Judge for the Fifth Circuit, vice Patrick E. Higginbotham, retired.",Latest Action: 10/04/2007 - Confirmed by the Senate by Voice Vote. (All Actions)
Raymond M. Kethledge,PN343,110th Congress (2007-2008),"Raymond M. Kethledge, of Michigan, to be United States Circuit Judge for the Sixth Circuit, vice James L. Ryan, retired.",Latest Action: 06/24/2008 - Confirmed by the Senate by Voice Vote. (All Actions)
Norman Randy Smith,PN183,110th Congress (2007-2008),"Norman Randy Smith, of Idaho, to be United States Circuit Judge for the Ninth Circuit, vice Thomas G. Nelson, retired.",Latest Action: 02/15/2007 - Confirmed by the Senate by Yea-Nay Vote. 94 - 0. Record Vote Number: 49. (All Actions)
Debra Ann Livingston,PN11,110th Congress (2007-2008),"Debra Ann Livingston, of New York, to be United States Circuit Judge for the Second Circuit, vice John M. Walker, Jr., retired.",Latest Action: 05/09/2007 - Confirmed by the Senate by Yea-Nay Vote. 91 - 0. Record Vote Number: 158. (All Actions)
Thomas M. Hardiman,PN8,110th Congress (2007-2008),"Thomas M. Hardiman, of Pennsylvania, to be United States Circuit Judge for the Third Circuit, vice Richard L. Nygaard, retired.",Latest Action: 03/15/2007 - Confirmed by the Senate by Yea-Nay Vote. 95 - 0. Record Vote Number: 78. (All Actions)
Leslie Southwick,PN2,110th Congress (2007-2008),"Leslie Southwick, of Mississippi, to be United States Circuit Judge for the Fifth Circuit, vice Charles W. Pickering, Sr., retired.",Latest Action: 10/24/2007 - Confirmed by the Senate by Yea-Nay Vote. 59 - 38. Record Vote Number: 393. (All Actions)
Kent A. Jordan,PN1746,109th Congress (2005-2006),"Kent A. Jordan, of Delaware, to be United States Circuit Judge for the Third Circuit, vice Jane R. Roth, retired.",Latest Action: 12/08/2006 - Confirmed by the Senate by Yea-Nay Vote. 91 - 0. Record Vote Number: 276. (All Actions)
Kimberly Ann Moore,PN1594,109th Congress (2005-2006),"Kimberly Ann Moore, of Virginia, to be United States Circuit Judge for the Federal Circuit, vice Raymond C. Clevenger, III, retired.",Latest Action: 09/05/2006 - Confirmed by the Senate by Yea-Nay Vote. 92 - 0. Record Vote Number: 231. (All Actions)
Bobby E. Shepherd,PN1593,109th Congress (2005-2006),"Bobby E. Shepherd, of Arkansas, to be United States Circuit Judge for the Eighth Circuit, vice Morris S. Arnold, retiring.",Latest Action: 07/20/2006 - Confirmed by the Senate by Voice Vote. (All Actions)
Neil M. Gorsuch,PN1565,109th Congress (2005-2006),"Neil M. Gorsuch, of Colorado, to be United States Circuit Judge for the Tenth Circuit, vice David M. Ebel, retired.",Latest Action: 07/20/2006 - Confirmed by the Senate by Voice Vote. (All Actions)
Jerome A. Holmes,PN1536,109th Congress (2005-2006),"Jerome A. Holmes, of Oklahoma, to be United States Circuit Judge for the Tenth Circuit, vice Stephanie K. Seymour, retired.",Latest Action: 07/25/2006 - Confirmed by the Senate by Yea-Nay Vote. 67 - 30. Record Vote Number: 213. (All Actions)
Milan D. Smith Jr.,PN1327,109th Congress (2005-2006),"Milan D. Smith, Jr., of California, to be United States Circuit Judge for the Ninth Circuit, vice A. Wallace Tashima, retired.",Latest Action: 05/16/2006 - Confirmed by the Senate by Yea-Nay Vote. 93 - 0. Record Vote Number: 120. (All Actions)
Sandra Segal Ikuta,PN1296,109th Congress (2005-2006),"Sandra Segal Ikuta, of California, to be United States Circuit Judge for the Ninth Circuit, vice James R. Browning, retired.",Latest Action: 06/19/2006 - Confirmed by the Senate by Yea-Nay Vote. 81 - 0. Record Vote Number: 175. (All Actions)
Michael A. Chagares,PN1180,109th Congress (2005-2006),"Michael A. Chagares, of New Jersey, to be United States Circuit Judge for the Third Circuit, vice Michael Chertoff, resigned.",Latest Action: 04/04/2006 - Confirmed by the Senate by Yea-Nay Vote. 98 - 0. Record Vote Number: 86. (All Actions)
Brett M. Kavanaugh,PN1179,109th Congress (2005-2006),"Brett M. Kavanaugh, of Maryland, to be United States Circuit Judge for the District of Columbia Circuit, vice Laurence H. Silberman, retired.",Latest Action: 05/26/2006 - Confirmed by the Senate by Yea-Nay Vote. 57 - 36. Record Vote Number: 159. (All Actions)
Thomas B. Griffith,PN202,109th Congress (2005-2006),"Thomas B. Griffith, of Utah, to be United States Circuit Judge for the District of Columbia Circuit, vice Patricia M. Wald, retired.",Latest Action: 06/14/2005 - Confirmed by the Senate by Yea-Nay Vote. 73 - 24. Record Vote Number: 136. (All Actions)
Janice R. Brown,PN201,109th Congress (2005-2006),"Janice R. Brown, of California, to be United States Circuit Judge for the District of Columbia Circuit, vice Stephen F. Williams, retired.",Latest Action: 06/08/2005 - Confirmed by the Senate by Yea-Nay Vote. 56 - 43. Record Vote Number: 131 . (All Actions)
William H. Pryor Jr.,PN200,109th Congress (2005-2006),"William H. Pryor, Jr., of Alabama, to be United States Circuit Judge for the Eleventh Circuit.",Latest Action: 06/09/2005 - Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 133. (All Actions)
Susan Bieke Neilson,PN197,109th Congress (2005-2006),"Susan Bieke Neilson, of Michigan, to be United States Circuit Judge for the Sixth Circuit, vice Cornelia G. Kennedy, retired.",Latest Action: 10/27/2005 - Confirmed by the Senate by Yea-Nay Vote. 97 - 0. Record Vote Number: 277. (All Actions)
David W. McKeague,PN196,109th Congress (2005-2006),"David W. McKeague, of Michigan, to be United States Circuit Judge for the Sixth Circuit, vice Richard F. Suhrheinrich, retired.",Latest Action: 06/09/2005 - Confirmed by the Senate by Yea-Nay Vote. 96 - 0. Record Vote Number: 135. (All Actions)
Richard A. Griffin,PN195,109th Congress (2005-2006),"Richard A. Griffin, of Michigan, to be United States Circuit Judge for the Sixth Circuit, vice Damon J. Keith, retired.",Latest Action: 06/09/2005 - Confirmed by the Senate by Yea-Nay Vote. 95 - 0. Record Vote Number: 134. (All Actions)
Priscilla Richman Owen,PN194,109th Congress (2005-2006),"Priscilla Richman Owen, of Texas, to be United States Circuit Judge for the Fifth Circuit, vice William L. Garwood, retired.",Latest Action: 05/25/2005 - Confirmed by the Senate by Yea-Nay Vote. 55 - 43. Record Vote Number: 128. (All Actions)
William Duane Benton,PN1369,108th Congress (2003-2004),"William Duane Benton, of Missouri, to be United States Circuit Judge for the Eighth Circuit, vice Theodore McMillian, retired.",Latest Action: 06/24/2004 - Confirmed by the Senate by Voice Vote. (All Actions)
Peter W. Hall,PN1195,108th Congress (2003-2004),"Peter W. Hall, of Vermont, to be United States Circuit Judge for the Second Circuit, vice Fred I. Parker, deceased.",Latest Action: 06/24/2004 - Confirmed by the Senate by Voice Vote. (All Actions)
Franklin S. Van Antwerpen,PN1164,108th Congress (2003-2004),"Franklin S. Van Antwerpen, of Pennsylvania, to be United States Circuit Judge for the Third Circuit, vice Edward R. Becker, retired.",Latest Action: 05/20/2004 - Confirmed by the Senate by Yea-Nay Vote. 96 - 0. Record Vote Number: 103. (All Actions)
Diane S. Sykes,PN1109,108th Congress (2003-2004),"Diane S. Sykes, of Wisconsin, to be United States Circuit Judge for the Seventh Circuit, vice John L. Coffey, retiring.",Latest Action: 06/24/2004 - Confirmed by the Senate by Yea-Nay Vote. 70 - 27. Record Vote Number: 152. (All Actions)
Raymond W. Gruender,PN975,108th Congress (2003-2004),"Raymond W. Gruender, of Missouri, to be United States Circuit Judge for the Eighth Circuit, vice Pasco M. Bowman II, retired.",Latest Action: 05/20/2004 - Confirmed by the Senate by Yea-Nay Vote. 97 - 1. Record Vote Number: 102. (All Actions)
D. Michael Fisher,PN570,108th Congress (2003-2004),"D. Michael Fisher, of Pennsylvania, to be United States Circuit Judge for the Third Circuit, vice Carol Los Mansmann, deceased.",Latest Action: 12/09/2003 - Confirmed by the Senate by Voice Vote. (All Actions)
Allyson K. Duncan,PN533,108th Congress (2003-2004),"Allyson K. Duncan, of North Carolina, to be United States Circuit Judge for the Fourth Circuit, vice Samuel J. Ervin, III, deceased.",Latest Action: 07/17/2003 - Confirmed by the Senate by Yea-Nay Vote. 93 - 0. Record Vote Number: 289. (All Actions)
Carlos T. Bea,PN523,108th Congress (2003-2004),"Carlos T. Bea, of California, to be United States Circuit Judge for the Ninth Circuit, vice Charles E. Wiggins, retired.",Latest Action: 09/29/2003 - Confirmed by the Senate by Yea-Nay Vote. 86 - 0. Record Vote Number: 368. (All Actions)
Richard C. Wesley,PN395,108th Congress (2003-2004),"Richard C. Wesley, of New York, to be United States Circuit Judge for the Second Circuit, vice Pierre N. Leval, retired.",Latest Action: 06/11/2003 - Confirmed by the Senate by Yea-Nay Vote. 96 - 0. Record Vote Number: 215. (All Actions)
Michael Chertoff,PN394,108th Congress (2003-2004),"Michael Chertoff, of New Jersey, to be United States Circuit Judge for the Third Circuit, vice Morton I. Greenberg, retired.",Latest Action: 06/09/2003 - Confirmed by the Senate by Yea-Nay Vote. 88 - 1. Record Vote Number: 211. (All Actions)
Steven M. Colloton,PN343,108th Congress (2003-2004),"Steven M. Colloton, of Iowa, to be United States Circuit Judge for the Eighth Circuit, vice David R. Hansen, retired.",Latest Action: 09/04/2003 - Confirmed by the Senate by Yea-Nay Vote. 94 - 1. Record Vote Number: 327. (All Actions)
Consuelo Maria Callahan,PN342,108th Congress (2003-2004),"Consuelo Maria Callahan, of California, to be United States Circuit Judge for the Ninth Circuit, vice Ferdinand F. Fernandez, retired.",Latest Action: 05/22/2003 - Confirmed by the Senate by Yea-Nay Vote. 99 - 0. Record Vote Number: 195. (All Actions)
Edward C. Prado,PN295,108th Congress (2003-2004),"Edward C. Prado, of Texas, to be United States Circuit Judge for the Fifth Circuit, vice Robert M. Parker, retired.",Latest Action: 05/01/2003 - Confirmed by the Senate by Yea-Nay Vote. 97 - 0. Record Vote Number: 138. (All Actions)
Timothy M. Tymkovich,PN16,108th Congress (2003-2004),"Timothy M. Tymkovich, of Colorado, to be United States Circuit Judge for the Tenth Circuit, vice John C. Porfilio, retired.",Latest Action: 04/01/2003 - Confirmed by the Senate by Yea-Nay Vote. 58 - 41. Record Vote Number: 113. (All Actions)
Jeffrey S. Sutton,PN15,108th Congress (2003-2004),"Jeffrey S. Sutton, of Ohio, to be United States Circuit Judge for the Sixth Circuit, vice David A. Nelson, retired.",Latest Action: 04/29/2003 - Confirmed by the Senate by Yea-Nay Vote. 52 - 41. Record Vote Number: 135. (All Actions)
John G. Roberts Jr.,PN13,108th Congress (2003-2004),"John G. Roberts, Jr., of Maryland, to be United States Circuit Judge for the District of Columbia Circuit, vice James L. Buckley, retired.",Latest Action: 05/08/2003 - Confirmed by the Senate by Voice Vote. (All Actions)
Deborah L. Cook,PN5,108th Congress (2003-2004),"Deborah L. Cook, of Ohio, to be United States Circuit Judge for the Sixth Circuit, vice Alan E. Norris, retired.",Latest Action: 05/05/2003 - Confirmed by the Senate by Yea-Nay Vote. 66 - 25. Record Vote Number: 139. (All Actions)
Jay S. Bybee,PN4,108th Congress (2003-2004),"Jay S. Bybee, of Nevada, to be United States Circuit Judge for the Ninth Circuit, vice Procter R. Hug, Jr., retired.",Latest Action: 03/13/2003 - Confirmed by the Senate by Yea-Nay Vote. 74 - 19. Record Vote Number: 54. (All Actions)
Reena Raggi,PN1713,107th Congress (2001-2002),"Reena Raggi, of New York, to be United States Circuit Judge for the Second Circuit, vice Amalya L. Kearse, retired.",Latest Action: 09/20/2002 - Confirmed by the Senate by Yea-Nay Vote. 85 - 0. Record Vote Number: 219. (All Actions)
John M. Rogers,PN1300,107th Congress (2001-2002),"John M. Rogers, of Kentucky, to be United States Circuit Judge for the Sixth Circuit, vice Eugene E. Siler, Jr., retired.",Latest Action: 11/14/2002 - Confirmed by the Senate by Voice Vote. (All Actions)
Julia Smith Gibbons,PN1115,107th Congress (2001-2002),"Julia Smith Gibbons, of Tennessee, to be United States Circuit Judge for the Sixth Circuit, vice Gilbert S. Merritt, retired.",Latest Action: 07/29/2002 - Confirmed by the Senate by Yea-Nay Vote. 95 - 0. Record Vote Number: 194. (All Actions)
D. Brooks Smith,PN1005,107th Congress (2001-2002),"D. Brooks Smith, of Pennsylvania, to be United States Circuit Judge for the Third Circuit, vice Timothy K. Lewis, retired.",Latest Action: 07/31/2002 - Confirmed by the Senate by Yea-Nay Vote. 64 - 35. Record Vote Number: 202. (All Actions)
Jeffrey R. Howard,PN898,107th Congress (2001-2002),"Jeffrey R. Howard, of New Hampshire, to be United States Circuit Judge for the First Circuit, vice Norman H. Stahl, retired.",Latest Action: 04/23/2002 - Confirmed by the Senate by Yea-Nay Vote. 99 - 0. Record Vote Number: 79. (All Actions)
Harris L. Hartz,PN897,107th Congress (2001-2002),"Harris L. Hartz, of New Mexico, to be United States Circuit Judge for the Tenth Circuit, vice Bobby Ray Baldock, retired.",Latest Action: 12/06/2001 - Confirmed by the Senate by Yea-Nay Vote. 99 - 0. Record Vote Number: 353. (All Actions)
Richard R. Clifton,PN894,107th Congress (2001-2002),"Richard R. Clifton, of Hawaii, to be United States Circuit Judge for the Ninth Circuit, vice Cynthia Holcomb Hall, retired.",Latest Action: 07/18/2002 - Confirmed by the Senate by Yea-Nay Vote. 98 - 0. Record Vote Number: 184. (All Actions)
Edith Brown Clement,PN893,107th Congress (2001-2002),"Edith Brown Clement, of Louisiana, to be United States Circuit Judge for the Fifth Circuit, vice John M. Duhe, Jr., retired.",Latest Action: 11/13/2001 - Confirmed by the Senate by Yea-Nay Vote. 99 - 0. Record Vote Number: 335. (All Actions)
Lavenski R. Smith,PN889,107th Congress (2001-2002),"Lavenski R. Smith, of Arkansas, to be United States Circuit Judge for the Eighth Circuit, vice Richard S. Arnold, retired.",Latest Action: 07/15/2002 - Confirmed by the Senate by Voice Vote. (All Actions)
Dennis W. Shedd,PN888,107th Congress (2001-2002),"Dennis W. Shedd, of South Carolina, to be United States Circuit Judge for the Fourth Circuit, vice Clyde H. Hamilton, retired.",Latest Action: 11/19/2002 - Confirmed by the Senate by Yea-Nay Vote. 55 - 44. Record Vote Number: 250. (All Actions)
Sharon Prost,PN886,107th Congress (2001-2002),"Sharon Prost, of the District of Columbia, to be United States Circuit Judge for the Federal Circuit, vice S. Jay Plager, retired.",Latest Action: 09/21/2001 - Confirmed by the Senate by Yea-Nay Vote. 97 - 0. Record Vote Number: 282. (All Actions)
Barrington D. Parker,PN884,107th Congress (2001-2002),"Barrington D. Parker, of Connecticut, to be United States Circuit Judge for the Second Circuit, vice Ralph K. Winter, retired.",Latest Action: 10/11/2001 - Confirmed by the Senate by Yea-Nay Vote. 100 - 0. Record Vote Number: 297. (All Actions)
Terrence L. O'Brien,PN882,107th Congress (2001-2002),"Terrence L. O'Brien, of Wyoming, to be United States Circuit Judge for the Tenth Circuit, vice Wade Brorby, retired.",Latest Action: 04/15/2002 - Confirmed by the Senate by Yea-Nay Vote. 98 - 0. Record Vote Number: 68. (All Actions)
Michael J. Melloy,PN881,107th Congress (2001-2002),"Michael J. Melloy, of Iowa, to be United States Circuit Judge for the Eighth Circuit, vice George G. Fagg, retired.",Latest Action: 02/11/2002 - Confirmed by the Senate by Yea-Nay Vote. 91 - 0. Record Vote Number: 21. (All Actions)
Michael W. McConnell,PN880,107th Congress (2001-2002),"Michael W. McConnell, of Utah, to be United States Circuit Judge for the Tenth Circuit, vice Stephen H. Anderson, retired.",Latest Action: 11/15/2002 - Confirmed by the Senate by Voice Vote. (All Actions)
William J. Riley,PN458,107th Congress (2001-2002),"William J. Riley, of Nebraska, to be United States Circuit Judge for the Eighth Circuit, vice Clarence A. Beam, retired.",Latest Action: 08/02/2001 - Confirmed by the Senate by Yea-Nay Vote. 97 - 0. Record Vote Number: 270. (All Actions)
