congress_no,yea_votes
107,90.71428571428571
108,83.28571428571429
109,80.61538461538461
110,84.42857142857143
111,85.83333333333333
112,88.0
113,80.17391304347827
114,88.5
115,61.3
116,57.458333333333336
117,52.666666666666664
